TrongKhoa@email.com,Dang##,Trong Khoa,Dang,M,0/01/1900,AUS,ADMIN
Katelyn@email.com,Knight##,Katelyn,Knight,F,0/01/1900,AUS,ADMIN
Zhengchao@email.com,Sun##,Zhengchao,Sun,M,0/01/1900,AUS,ADMIN
Hoang@email.com,Wang##,Hoang,Wang,M,0/01/1900,AUS,ADMIN
Gayan@email.com,Wijesuriya##,Gayan,Wijesuriya,M,0/01/1900,AUS,ADMIN
oo@sadf.com,p,p,pk,p,pp,p,PCO
pl@com,pl,pl,plp,lpl,pl,pl,ADMIN
user@user,1234,fuser,luser,M,0/01/1900,AUS,USER
pco@pco,1234,fpco,lpco,M,0/01/1900,AUS,PCO
admin@admin,1234,fadmin,ladmin,M,0/01/1900,AUS,ADMIN
hoangtran@email,hoang,hoang,tran,m,01/01/2000,aus,ADMIN
